genero;raca;idade;estado;mesespreso;sentencamaxima;multiploscrimes;crime;violou
1;1;33.2;outro;5.5;18;0;direcao;0
0;1;39.7;outro;5.4;12;0;drogas;0
1;0;29.5;outro;5.6;12;0;drogas;0
1;1;22.4;outro;5.7;18;0;outro;0
1;0;21.6;outro;5.4;12;0;outro;0
1;0;46.7;outro;6;18;0;direcao;0
1;1;31;outro;6;18;0;drogas;0
0;1;24.6;outro;4.8;12;0;outro;0
0;1;32.6;outro;4.5;13;0;drogas;0
1;0;29.1;outro;4.7;12;0;subtracao;0
0;0;28.4;outro;4.5;12;1;outro;0
1;1;20.5;outro;5.9;12;0;outro;0
1;1;30.1;outro;5.3;16;0;drogas;0
1;1;37.8;outro;5.3;8;0;drogas;0
1;1;41.7;outro;5.5;8;0;drogas;0
1;0;43.5;outro;5.2;8;0;outro;0
1;1;42.3;outro;4.8;16;0;drogas;0
1;1;21.3;outro;5.1;8;0;outro;0
1;0;24.5;outro;6;16;0;drogas;0
1;1;42.3;outro;5.8;16;0;outro;0
1;1;31.6;outro;4.9;8;0;outro;0
1;0;35.4;outro;5.3;8;0;drogas;0
1;1;41.9;outro;5.1;16;0;drogas;0
1;1;38.9;outro;5.2;16;0;drogas;0
1;0;23;outro;5.3;8;0;outro;0
1;1;29.5;outro;3.9;16;0;outro;1
1;1;32.8;outro;5.9;16;0;drogas;0
1;0;32.4;outro;5.1;8;0;outro;0
1;1;29.7;outro;5.8;8;0;subtracao;0
1;1;28.7;outro;6;8;0;outro;0
1;1;50.2;outro;6;8;0;outro;0
1;1;25.9;outro;0.5;16;0;outro;0
1;0;49.9;outro;4.7;16;0;outro;0
1;1;47.1;outro;5.4;13;0;outro;0
1;1;36.7;outro;0.9;16;0;drogas;0
1;1;37.2;outro;2;16;0;outro;1
1;1;23.2;outro;0.9;16;0;outro;0
1;1;31.4;outro;0.7;16;0;outro;0
1;1;39.1;outro;0;16;0;drogas;0
0;1;50.6;outro;3;12;0;outro;0
0;1;36.3;outro;5.2;16;0;subtracao;0
1;1;29.9;outro;4.8;12;1;outro;1
1;1;27.5;outro;3.8;12;1;drogas;1
1;1;28.1;outro;4.2;12;1;subtracao;0
1;1;34.2;outro;4.4;12;1;outro;1
1;0;36.5;outro;3.9;12;1;direcao;1
1;1;33.5;outro;4.2;12;1;outro;1
1;1;55;outro;4.2;12;1;direcao;0
1;1;31.2;outro;5.2;15;1;direcao;0
1;1;39.6;outro;4.7;13;1;direcao;0
1;1;37.3;outro;4.6;12;1;outro;1
1;1;21.1;outro;4.9;12;1;outro;0
1;1;34.9;outro;4.5;12;1;direcao;1
1;1;24.9;outro;0.1;18;1;outro;0
0;1;61.6;outro;4.5;12;1;outro;0
1;1;48;outro;5.2;12;1;outro;0
1;1;41.7;outro;4.4;12;1;outro;1
1;1;21.4;outro;4.3;12;1;outro;0
1;1;54.5;outro;4.1;12;1;outro;0
1;0;38.8;outro;3.7;12;1;outro;0
1;1;20.2;outro;2.1;12;1;outro;0
1;1;41.4;outro;4.1;12;1;outro;1
1;1;48.2;outro;5.3;12;1;subtracao;1
1;1;32.2;outro;4.9;12;1;outro;1
1;1;33.7;outro;0.2;12;1;outro;0
0;1;39.7;outro;4.4;12;1;drogas;1
1;1;35;outro;1.2;18;1;outro;0
1;0;57.5;KY;5.9;12;0;outro;0
1;0;57.5;KY;5.9;12;0;outro;0
0;1;42.4;KY;3.6;12;0;drogas;0
0;1;25.3;KY;4.8;12;0;subtracao;0
0;1;37.5;KY;4.8;12;0;outro;0
0;1;22.3;KY;4;12;0;subtracao;0
0;0;40.1;KY;5.2;12;0;outro;0
0;0;40.3;KY;5.9;12;1;drogas;0
0;1;33.2;KY;4.8;12;0;outro;0
0;1;33.2;KY;4.8;12;0;outro;0
0;1;43.5;KY;2.5;12;0;drogas;0
0;1;43.6;KY;3.8;12;0;drogas;0
0;1;43.6;KY;3.8;12;0;drogas;0
1;1;33.7;KY;5.2;12;0;drogas;1
1;0;20.6;KY;4.2;12;0;drogas;1
1;0;34.8;KY;5.1;12;0;outro;0
1;1;25;KY;5.3;12;0;outro;0
0;1;39;KY;5.7;18;0;drogas;0
1;1;30.8;KY;5.1;12;0;subtracao;0
1;1;29.9;KY;4;12;0;drogas;1
1;1;37.4;KY;4.9;12;0;drogas;1
1;1;41.1;KY;4.2;12;0;direcao;0
1;0;26.6;KY;2.6;12;0;outro;0
1;1;20.5;KY;3.2;12;1;outro;1
1;1;51.1;KY;4.4;18;1;drogas;0
0;1;27.7;KY;5.3;18;0;drogas;0
0;1;25.7;KY;5.5;12;0;drogas;0
0;1;22;KY;5.3;12;1;drogas;0
1;1;26.9;KY;4.5;18;0;drogas;0
1;1;47.2;KY;5.1;12;0;drogas;0
1;1;31.5;KY;4.5;12;0;drogas;0
0;0;21;KY;5.2;18;0;drogas;0
0;0;24.2;KY;4.8;12;0;outro;0
1;1;37.3;KY;3.5;12;0;drogas;0
1;1;22.6;KY;4.7;12;0;outro;0
0;1;35;KY;5.7;12;0;drogas;0
