cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
110001,Alta Floresta D'Oeste,25506.0,0.03585112205801861,0.01876675603217158,0.0003518648838845883,54309616.15,435.09603399433433,84.38416214626963,13947991.39,5.0,
110002,Ariquemes,105896.0,0.024559151732263102,0.010095344924284912,0.0004789226156837577,212283847.96,441.1481798715203,83.7651466083168,36269308.61,5.0,4.6
110003,Cabixi,6289.0,0.044374508261211636,0.034883720930232565,,19543052.91,445.11980198019796,78.37070883921105,2385785.97,5.3,
110004,Cacoal,87877.0,0.023788778575195468,0.018382352941176468,0.00027514731846009206,169970502.54,451.05253749743036,91.85192818384148,34123516.11,5.8,4.5
110005,Cerejeiras,17959.0,0.03647281218725675,0.0036101083032490976,0.00011119759813188037,45579343.22,449.72640692640687,93.938711706766,12889681.84,5.4,
110006,Colorado do Oeste,18639.0,0.030398044321624063,0.00796812749003984,0.00010628686825742679,35128046.88,465.25589353612213,96.17801923645386,8064174.03,,
110008,Costa Marques,17031.0,0.0355534202150021,0.028571428571428567,0.0001801693591976458,28670707.67,413.1488970588234,68.49682567776642,6613761.19,4.5,
110010,Guajará-Mirim,47048.0,0.028156630639903923,0.019253910950661854,0.00012866700977869275,71533573.01,413.118867924529,70.9691019479528,17493549.61,5.0,
110012,Ji-Paraná,131560.0,0.024574640198130642,0.0157593123209169,0.00022236023892224286,212260198.17,447.219555633926,89.17458175944437,45909120.59,6.6,
110013,Machadinho D'Oeste,37899.0,0.0326633841848952,0.022916666666666655,0.0005381117658137595,74113394.02,431.25650793650834,81.76339967697537,12705515.72,4.7,
110015,Ouro Preto do Oeste,39840.0,0.03451557960124236,0.009126466753585395,7.514277126540426e-05,75719801.51,443.7046246648787,85.77982788487216,9418840.99,5.4,
110018,Pimenta Bueno,37786.0,0.030416933248027293,0.016835016835016838,0.0002932394966943911,84090781.52,443.346175637394,84.6001142212992,13327701.93,6.0,
110020,Porto Velho,511219.0,0.026100551369672282,0.013306939403937094,0.00041372616101903936,1139593693.81,442.5463702397435,92.94183796729635,135755561.54,4.8,3.5
110028,Rolim de Moura,56664.0,0.027470573592688736,0.02457264957264957,0.00014224245225987695,105719259.12,437.9454126931919,85.10627581864586,29622519.33,,
110033,Nova Mamoré,28255.0,0.03778985507246377,0.0099009900990099,0.000253623188405797,47054045.7,418.8610126582277,73.38500793646391,10132321.78,4.5,
110040,Alto Paraíso,20569.0,0.032211776348342415,0.020242914979757085,0.00029688273132112816,34262575.62,427.0603238866397,83.3465975908793,6977833.83,4.8,4.2
110045,Buritis,38450.0,0.031449865214863364,0.01480263157894737,0.000766425286748771,71947072.93,427.720739762219,78.07550005926917,15690845.37,5.3,
110050,Novo Horizonte do Oeste,10161.0,0.040190735694822885,,0.0002919423900350331,22580781.32,434.31066666666663,70.12592864167394,5561238.24,5.6,
110080,Candeias do Jamari,24719.0,0.03452701304077832,0.02476780185758514,0.0006623887393914303,45440130.76,429.5957507082159,79.7937988601109,8300006.23,4.0,3.3
