CRIM,RM,AGE,DIS,MEDV
0.00632,6.575,65.2,4.09,24
0.02731,6.421,78.9,4.9671,21.6
0.02729,7.185,61.1,4.9671,34.7
0.03237,6.998,45.8,6.0622,33.4
0.06905,7.147,54.2,6.0622,36.2
0.02985,6.43,58.7,6.0622,28.7
0.08829,6.012,66.6,5.5605,22.9
0.14455,6.172,96.1,5.9505,27.1
0.21124,5.631,100,6.0821,16.5
0.17004,6.004,85.9,6.5921,18.9
0.22489,6.377,94.3,6.3467,15
0.11747,6.009,82.9,6.2267,18.9
0.09378,5.889,39,5.4509,21.7
0.62976,5.949,61.8,4.7075,20.4
0.63796,6.096,84.5,4.4619,18.2
0.62739,5.834,56.5,4.4986,19.9
1.05393,5.935,29.3,4.4986,23.1
0.7842,5.99,81.7,4.2579,17.5
0.80271,5.456,36.6,3.7965,20.2
0.7258,5.727,69.5,3.7965,18.2
1.25179,5.57,98.1,3.7979,13.6
0.85204,5.965,89.2,4.0123,19.6
1.23247,6.142,91.7,3.9769,15.2
0.98843,5.813,100,4.0952,14.5
0.75026,5.924,94.1,4.3996,15.6
0.84054,5.599,85.7,4.4546,13.9
0.67191,5.813,90.3,4.682,16.6
0.95577,6.047,88.8,4.4534,14.8
0.77299,6.495,94.4,4.4547,18.4
1.00245,6.674,87.3,4.239,21
1.13081,5.713,94.1,4.233,12.7
1.35472,6.072,100,4.175,14.5
1.38799,5.95,82,3.99,13.2
1.15172,5.701,95,3.7872,13.1
1.61282,6.096,96.9,3.7598,13.5
0.06417,5.933,68.2,3.3603,18.9
0.09744,5.841,61.4,3.3779,20
0.08014,5.85,41.5,3.9342,21
0.17505,5.966,30.2,3.8473,24.7
0.02763,6.595,21.8,5.4011,30.8
0.03359,7.024,15.8,5.4011,34.9
0.12744,6.77,2.9,5.7209,26.6
0.1415,6.169,6.6,5.7209,25.3
0.15936,6.211,6.5,5.7209,24.7
0.12269,6.069,40,5.7209,21.2
0.17142,5.682,33.8,5.1004,19.3
0.18836,5.786,33.3,5.1004,20
0.22927,6.03,85.5,5.6894,16.6
0.25387,5.399,95.3,5.87,14.4
0.21977,5.602,62,6.0877,19.4
0.08873,5.963,45.7,6.8147,19.7
0.04337,6.115,63,6.8147,20.5
0.0536,6.511,21.1,6.8147,25
0.04981,5.998,21.4,6.8147,23.4
0.0136,5.888,47.6,7.3197,18.9
0.01311,7.249,21.9,8.6966,35.4
0.02055,6.383,35.7,9.1876,24.7
0.01432,6.816,40.5,8.3248,31.6
0.15445,6.145,29.2,7.8148,23.3
0.10328,5.927,47.2,6.932,19.6
0.14932,5.741,66.2,7.2254,18.7
0.17171,5.966,93.4,6.8185,16
0.11027,6.456,67.8,7.2255,22.2
0.1265,6.762,43.4,7.9809,25
0.01951,7.104,59.5,9.2229,33
0.03584,6.29,17.8,6.6115,23.5
0.04379,5.787,31.1,6.6115,19.4
0.05789,5.878,21.4,6.498,22
0.13554,5.594,36.8,6.498,17.4
0.12816,5.885,33,6.498,20.9
0.08826,6.417,6.6,5.2873,24.2
0.15876,5.961,17.5,5.2873,21.7
0.09164,6.065,7.8,5.2873,22.8
0.19539,6.245,6.2,5.2873,23.4
0.07896,6.273,6,4.2515,24.1
0.09512,6.286,45,4.5026,21.4
0.10153,6.279,74.5,4.0522,20
0.08707,6.14,45.8,4.0905,20.8
0.05646,6.232,53.7,5.0141,21.2
0.08387,5.874,36.6,4.5026,20.3
0.04113,6.727,33.5,5.4007,28
0.04462,6.619,70.4,5.4007,23.9
0.03659,6.302,32.2,5.4007,24.8
0.03551,6.167,46.7,5.4007,22.9
0.05059,6.389,48,4.7794,23.9
0.05735,6.63,56.1,4.4377,26.6
0.05188,6.015,45.1,4.4272,22.5
0.07151,6.121,56.8,3.7476,22.2
0.0566,7.007,86.3,3.4217,23.6
0.05302,7.079,63.1,3.4145,28.7
0.04684,6.417,66.1,3.0923,22.6
0.03932,6.405,73.9,3.0921,22
0.04203,6.442,53.6,3.6659,22.9
0.02875,6.211,28.9,3.6659,25
0.04294,6.249,77.3,3.615,20.6
0.12204,6.625,57.8,3.4952,28.4
0.11504,6.163,69.6,3.4952,21.4
0.12083,8.069,76,3.4952,38.7
0.08187,7.82,36.9,3.4952,43.8
0.0686,7.416,62.5,3.4952,33.2
0.14866,6.727,79.9,2.7778,27.5
0.11432,6.781,71.3,2.8561,26.5
0.22876,6.405,85.4,2.7147,18.6
0.21161,6.137,87.4,2.7147,19.3
0.1396,6.167,90,2.421,20.1
0.13262,5.851,96.7,2.1069,19.5
0.1712,5.836,91.9,2.211,19.5
0.13117,6.127,85.2,2.1224,20.4
0.12802,6.474,97.1,2.4329,19.8
