codigo,latitude,longitude,municipio,uf,bolsapib,rural,analfabetismo,saneamentoruim
1100015,"-899,35604","-1393,0707",alta floresta doeste,RO,"7,12","42,73","11,99","99,47"
1100023,"-982,13346","-1113,8189",ariquemes,RO,"4,76","15,30","7,90","95,51"
1100031,"-718,81581","-1499,9564",cabixi,RO,"5,96","57,34","13,63","99,34"
1100049,"-799,58458","-1259,8094",cacoal,RO,"6,00","21,19","8,30","49,94"
1100056,"-786,95478","-1471,6482",cerejeiras,RO,"4,99","15,33","10,28","94,30"
1100064,"-710,0628","-1464,5636",colorado do oeste,RO,"7,40","26,54","12,43","97,04"
1100072,"-769,48489","-1440,2546",corumbiara,RO,"5,63","70,51","12,57","98,94"
1100080,"-1094,5717","-1363,6002",costa marques,RO,"12,51","45,19","8,56","97,92"
1100098,"-740,52239","-1263,9572",espigão doeste,RO,"7,88","28,26","11,40","96,58"
1100106,"-1150,2268","-1270,9908",guajará-mirim,RO,"8,30","15,48","8,05","87,01"
1100114,"-939,33197","-1184,3375",jaru,RO,"5,84","32,47","10,66","98,32"
1100122,"-849,14256","-1167,3801",ji-paraná,RO,"5,06","10,08","7,79","88,82"
1100130,"-880,21284","-1027,6607",machadinho doeste,RO,"10,03","48,06","11,95","99,31"
1100148,"-897,88157","-1291,8245",nova brasilândia doeste,RO,"11,42","57,83","11,25","98,44"
1100155,"-894,18103","-1185,1354",ouro preto do oeste,RO,"6,61","25,70","10,36","94,72"
1100189,"-744,08716","-1324,5557",pimenta bueno,RO,"3,64","13,02","8,35","72,48"
1100205,"-1132,5509","-1028,7449",porto velho,RO,"3,97","8,82","5,10","80,68"
1100254,"-860,37109","-1246,3052",presidente médici,RO,"10,42","40,40","12,23","99,08"
1100262,"-964,6908","-1079,005",rio crespo,RO,"2,73","67,91","13,29","99,90"
1100288,"-847,05158","-1309,1834",rolim de moura,RO,"6,71","18,20","9,04","90,07"
1100296,"-838,45195","-1341,8158",santa luzia doeste,RO,"8,48","49,08","13,03","99,27"
1100304,"-680,59325","-1344,4738",vilhena,RO,"2,34","5,23","6,08","87,53"
1100320,"-975,02813","-1301,2374",são miguel do guapore,RO,"8,30","61,20","10,81","99,55"
1100338,"-1163,8549","-1167,567",nova mamore,RO,"10,05","42,04","13,07","98,87"
1100346,"-932,73235","-1264,5679",alvorada doeste,RO,"15,69","47,64","12,94","73,56"
1100379,"-856,1629","-1405,5718",alto alegre dos parecis,RO,"7,65","71,47","13,53","99,92"
1100403,"-1030,939","-1081,234",alto paraíso,RO,"11,12","52,13","11,81","98,93"
1100452,"-1089,6153","-1128,1199",buritis,RO,"9,51","44,04","9,85","99,96"
1100502,"-881,18081","-1304,3849",novo horizonte do oeste,RO,"6,83","83,08","14,35","99,74"
1100601,"-984,20778","-1156,3882",cacaulandia,RO,"4,52","63,93","13,22","95,39"
1100700,"-1072,6133","-1176,195",campo novo de rondonia,RO,"8,38","73,38","12,31","99,78"
1100809,"-1025,6204","-995,66556",candeias do jamari,RO,"5,67","34,85","10,99","95,87"
1100908,"-859,67691","-1280,3086",castanheiras,RO,"9,05","76,62","14,29","99,27"
1100924,"-749,66333","-1396,3237",chupinguaia,RO,"2,39","55,87","10,31","98,85"
1100940,"-941,24856","-1025,3702",cujubim,RO,"4,92","30,35","11,97","98,28"
